Dates	Day of the Week, M=1	Weekday	Count	Net Changes
42441	6	FALSE	4	-213.49
42442	7	FALSE	2	-69.13
42443	1	TRUE	3	-90.34
42444	2	TRUE	8	-149.96
42445	3	TRUE	8	-230.87
42446	4	TRUE	8	-129.87
42447	5	TRUE	7	-262.6
42448	6	FALSE	4	-99.31
42449	7	FALSE	8	-126.05
42450	1	TRUE	9	-105.51
42451	2	TRUE	6	-172.71
42452	3	TRUE	1	0
42453	4	TRUE	2	-57
42454	5	TRUE	1	0
42455	6	FALSE	6	-106.83
42456	7	FALSE	4	-91.49
42457	1	TRUE	2	-100.99
42458	2	TRUE	2	-28
42459	3	TRUE	4	-93.52
42460	4	TRUE	2	-10.75
42461	5	TRUE	3	6.54
42462	6	FALSE	2	-43.26
42463	7	FALSE	5	-150.61
42465	2	TRUE	2	-46.69
42466	3	TRUE	1	0
42467	4	TRUE	6	-115.44
42468	5	TRUE	3	-47.47
42469	6	FALSE	6	-328.14
42470	7	FALSE	5	-183.35
42471	1	TRUE	3	-23.14
42472	2	TRUE	4	-90.1
42473	3	TRUE	4	-60.83
42474	4	TRUE	1	-8.25
42475	5	TRUE	2	-55
42476	6	FALSE	4	-108.92
42477	7	FALSE	4	-164.08
42478	1	TRUE	1	-38.29
42479	2	TRUE	3	-90.85
42480	3	TRUE	3	-75.12
42481	4	TRUE	2	-59.34
42482	5	TRUE	3	-203.14
42483	6	FALSE	4	-172.03
42484	7	FALSE	5	-46.23
42485	1	TRUE	1	0
42486	2	TRUE	2	-30.29
42487	3	TRUE	3	-61.5
42488	4	TRUE	3	-58.78
42489	5	TRUE	5	-45.96
42490	6	FALSE	3	-24
42491	7	FALSE	3	-46.68
42492	1	TRUE	6	-50.78
42493	2	TRUE	4	-120.38
42494	3	TRUE	1	-7.15
42495	4	TRUE	3	82.01
42496	5	TRUE	6	-119.53
42497	6	FALSE	6	-224.34
42498	7	FALSE	4	-196.47
42499	1	TRUE	5	-188.42
42500	2	TRUE	3	-69
42501	3	TRUE	1	-26.5
42502	4	TRUE	1	-7.15
42503	5	TRUE	4	-298.28
42504	6	FALSE	5	-86.47
42505	7	FALSE	8	-165.33
42506	1	TRUE	4	-106.52
42507	2	TRUE	7	-261.36
42508	3	TRUE	4	-73.85
42509	4	TRUE	6	-110.29
42510	5	TRUE	12	-139.7
42511	6	FALSE	5	-96.97
42512	7	FALSE	14	-675.39
42513	1	TRUE	1	-9
